1a74
	Frac	Frac	Frac	Frac	Frac	Frac
	0.197	0.196	0.197	0.197	0.183	0.338
	0.141	0.191	0.192	0.193	0.169	0.173
	0.131	0.187	0.112	0.130	0.154	0.114
	0.076	0.178	0.082	0.127	0.093	0.078
	0.076	0.122	0.061	0.083	0.092	0.075
	0.073	0.061	0.045	0.078	0.083	0.061
	0.071	0.031	0.036	0.078	0.060	0.043
	0.061	0.014	0.021	0.039	0.059	0.034
	0.032	0.003	0.021	0.024	0.028	0.021
	61	25	167	33	56	33
1azp
	Frac	Frac	Frac	Frac	Frac	Frac
	0.267	0.200	0.318	0.193	0.152	0.185
	0.180	0.144	0.162	0.164	0.142	0.171
	0.098	0.135	0.078	0.106	0.114	0.159
	0.077	0.103	0.068	0.092	0.055	0.097
	0.042	0.098	0.050	0.051	0.053	0.074
	0.038	0.065	0.036	0.043	0.050	0.050
	0.037	0.024	0.030	0.040	0.047	0.045
	0.020	0.024	0.029	0.039	0.045	0.041
	0.020	0.022	0.026	0.037	0.039	0.022
	217	98	123	120	140	144
1by4
	Frac	Frac	Frac	Frac	Frac	Frac
	0.185	0.176	0.183	0.199	0.197	0.200
	0.181	0.155	0.158	0.198	0.187	0.146
	0.134	0.119	0.095	0.189	0.106	0.136
	0.071	0.106	0.072	0.112	0.081	0.106
	0.068	0.106	0.068	0.057	0.064	0.085
	0.059	0.105	0.060	0.027	0.058	0.083
	0.056	0.050	0.052	0.024	0.051	0.061
	0.055	0.043	0.041	0.023	0.048	0.028
	0.030	0.032	0.037	0.022	0.029	0.019
	196	74	159	191	142	116
1cdw
	Frac	Frac	Frac	Frac	Frac	Frac
	0.196	0.195	0.192	0.193	0.200	0.194
	0.126	0.181	0.169	0.179	0.189	0.194
	0.119	0.156	0.110	0.136	0.162	0.176
	0.096	0.132	0.080	0.087	0.113	0.140
	0.085	0.090	0.073	0.075	0.074	0.128
	0.065	0.072	0.046	0.066	0.034	0.058
	0.061	0.070	0.034	0.065	0.017	0.028
	0.048	0.039	0.022	0.060	0.016	0.021
	0.011	0.012	0.016	0.034	0.010	0.008
	154	63	235	81	256	98
1dh3
	Frac	Frac	Frac	Frac	Frac	Frac
	0.104	0.053	0.058	0.034	0.054	0.114
	0.041	0.020	0.020	0.032	0.012	0.057
	0.019	0.012	0.009	0.024	0.007	0.042
	0.014	0.008	0.008	0.021	0.006	0.031
	0.005	0.006	0.008	0.017	0.006	0.014
	0.004	0.004	0.007	0.012	0.005	0.014
	0.004	0.004	0.007	0.011	0.005	0.013
	0.003	0.003	0.004	0.007	0.004	0.007
	0.003	0.003	0.003	0.006	0.004	0.006
	2677	3175	2991	2711	2873	1554
1zme
	Frac	Frac	Frac	Frac	Frac	Frac
	0.076	0.139	0.193	0.198	0.152	0.154
	0.059	0.095	0.127	0.123	0.075	0.146
	0.054	0.084	0.066	0.102	0.062	0.099
	0.035	0.057	0.059	0.076	0.048	0.051
	0.034	0.038	0.057	0.048	0.047	0.048
	0.032	0.035	0.033	0.037	0.046	0.046
	0.031	0.019	0.029	0.029	0.024	0.020
	0.015	0.018	0.020	0.027	0.021	0.019
	0.010	0.013	0.019	0.027	0.010	0.019
	1205	837	481	526	1070	626
2r1j
	Frac	Frac	Frac	Frac	Frac	Frac
	0.215	0.197	0.198	0.200	0.196	0.243
	0.199	0.194	0.193	0.191	0.194	0.139
	0.165	0.187	0.122	0.107	0.188	0.068
	0.123	0.158	0.061	0.106	0.184	0.067
	0.064	0.132	0.050	0.063	0.112	0.058
	0.035	0.051	0.041	0.057	0.017	0.057
	0.030	0.025	0.028	0.037	0.015	0.053
	0.020	0.012	0.010	0.026	0.013	0.050
	0.020	0.011	0.010	0.019	0.009	0.044
	72	53	410	175	53	57
3cro
	Frac	Frac	Frac	Frac	Frac	Frac
	0.188	0.189	0.198	0.191	0.162	0.191
	0.175	0.187	0.167	0.174	0.143	0.188
	0.169	0.154	0.135	0.164	0.135	0.183
	0.102	0.113	0.125	0.145	0.121	0.127
	0.079	0.044	0.088	0.113	0.111	0.108
	0.048	0.028	0.046	0.104	0.087	0.070
	0.023	0.027	0.042	0.016	0.020	0.045
	0.023	0.025	0.032	0.009	0.012	0.028
	0.019	0.021	0.026	0.009	0.012	0.006
	166	135	146	108	236	101
